id;nom;coordonnees;ville;adresse;departement;adresse_mail;tel
1;Epicerie du canal;"{""type"": ""Point"", ""coordinates"": [-1.64187, 48.185538]}";Betton;7 rue du Clos Paisible;Ille et Vilaine;epiceriecanal@gmail.com;07 55 61 68 91
2;Epicerie sociale l'Escale;"{""type"": ""Point"", ""coordinates"": [-1.776944, 48.148691]}";Pacé;2 rue de la Chalotais;Ille et Vilaine;ccas@ville-pace.fr;
3;Banque alimentaire;"{""type"": ""Point"", ""coordinates"": [-1.766783, 48.146216]}";Pacé;3 rue Jean-Marie Tullou;Ille et Vilaine;ba352@banquealimentaire.org;02 23 35 17 30
4;Epicerie solidaire Le Panier de Grégoire;"{""type"": ""Point"", ""coordinates"": [-1.69175, 48.152383]}";Saint-Grégoire;4 rue Paul-Émile Victor;Ille et Vilaine;lepanierdegregoire@gmail.com;09 80 39 72 00
5;L'Hermitage entraide et solidarité;"{""type"": ""Point"", ""coordinates"": [-1.807853, 48.128168]}";l'Hermitage;1 mail Francis Chouan;Ille et Vilaine;mairie@ville-lhermitage.fr;02 99 64 02 54
6;Les Restos du Cœur - Centre d'activités RENNES DONELIERE;"{""type"": ""Point"", ""coordinates"": [-1.685792, 48.13032]}";Rennes;25 rue de la Donelière;Ille et Vilaine;ad35.siege@restosducoeur.org;02 99 23 70 30
7;Secours populaire français - Antenne de Maurepas;"{""type"": ""Point"", ""coordinates"": [-1.663677, 48.125441]}";Rennes;32 rue de la Marbaudais;Ille et Vilaine;;02 99 38 00 50
8;L'Étal convivial;"{""type"": ""Point"", ""coordinates"": [-1.663677, 48.125441]}";Rennes;32 rue de la Marbaudais;Ille et Vilaine;;
9;Solid'Alim;"{""type"": ""Point"", ""coordinates"": [-1.63342, 48.12415]}";Rennes;20 avenue des Buttes de Coësmes;Ille et Vilaine;aeir-solidalim@insa-rennes.fr;
10;EPIFREE;"{""type"": ""Point"", ""coordinates"": [-1.633702, 48.116791]}";Rennes;Allée de Beaulieu;Ille et Vilaine;epifreesolidaire.rennes1@gmail.com;
11;Apodo;"{""type"": ""Point"", ""coordinates"": [-1.715466, 48.119862]}";Rennes;1 rue d'Armagnac;Ille et Vilaine;;
12;Union Pirate Rennes 2;"{""type"": ""Point"", ""coordinates"": [-1.704046, 48.120899]}";Rennes;Place Recteur Henri Le Moal;Ille et Vilaine;contact@unionpirate.fr;
13;L'épicerie gratuite;"{""type"": ""Point"", ""coordinates"": [-1.704046, 48.120899]}";Rennes;Place Recteur Henri Le Moal;Ille et Vilaine;epicerie.gratuite.r2@gmail.com;
14;Cœurs Résistants - Village Alimentaire;"{""type"": ""Point"", ""coordinates"": [-1.646841, 48.116671]}";Rennes;4 Rue du Bois Perrin;Ille et Vilaine;cœurs.resistants@gmail.com;
