id;nom;departement;coordonnees;type_commerce;adresse;ville;adresse_mail;tel
1;RESTAURANT LE CALYDON;Ille et Vilaine;"{""coordinates"": [[-1.625370335086585, 48.131028495830535]], ""type"": ""MultiPoint""}";RESTAURANT;RUE DU CHENE GERMAIN;CESSON SEVIGNE;;
2;LA P'TITE FLAMBEE;Ille et Vilaine;"{""coordinates"": [[-1.628436022020354, 48.10535305884517]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;1 RUE DE L ERBONIERE;CESSON SEVIGNE;;
3;L'EPI DE BLE;Ille et Vilaine;"{""coordinates"": [[-1.625370440547161, 48.135488893505816]], ""type"": ""MultiPoint""}";RESTAURANT;26 ROUTE DE FOUGERES;CESSON SEVIGNE;;
4;BOULANGERIE PATISSERIE SIMON & SIMON;Ille et Vilaine;"{""coordinates"": [[-1.620066497216882, 48.08752598347301]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE SALON DE THE;9 PLACE DES MARELLES;CHANTEPIE;;
5;CAMPANILE;Ille et Vilaine;"{""coordinates"": [[-1.622960017586448, 48.084909005641975]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT;1 RUE DE LA CHALOTAIS;CHANTEPIE;;
6;LA PIE MUETTE;Ille et Vilaine;"{""coordinates"": [[-1.619635362366706, 48.08864129489613]], ""type"": ""MultiPoint""}";BAR + RESTAURATION RAPIDE;63 AVENUE ANDRE BONNIN;CHANTEPIE;;
7;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.616153097670192, 48.088161677823116]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;6 RUE DU PARC;CHANTEPIE;;
8;LE PIZZ'WICH;Ille et Vilaine;"{""coordinates"": [[-1.619381758436412, 48.08856970163454]], ""type"": ""MultiPoint""}";PIZZA KEBAB SP/AE;67 AV ANDRE BONNIN;CHANTEPIE;;
9;BOULANGERIE SANDRA ET NICOLAS SANTIER;Ille et Vilaine;"{""coordinates"": [[-1.734318387501218, 48.17793289039736]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;5 PL CENTRE;LA CHAPELLE DES FOUGERETZ;;
10;LA BOULANGE;Ille et Vilaine;"{""coordinates"": [[-1.720220422143568, 48.17163822152745]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;58 ROUTE DE SAINT MALO;LA CHAPELLE DES FOUGERETZ;;
11;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.706230479125724, 48.041562227023576]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;RUE DE LWOWEK;CHARTRES DE BRETAGNE;;
12;LA BRIQUE ROUGE;Ille et Vilaine;"{""coordinates"": [[-1.70784281775943, 48.04239073975587]], ""type"": ""MultiPoint""}";BAR RESTAURANT;25 RUE DE LA POTERIE;CHARTRES DE BRETAGNE;;
13;AUX FRUITS DU CASTEL;Ille et Vilaine;"{""coordinates"": [[-1.502792827062983, 48.048119364628384]], ""type"": ""MultiPoint""}";FRUITS LEGUMES + CADEAUX;36 RUE DE LA MADELEINE;CHATEAUGIRON;;
14;LE BELVEDERE;Ille et Vilaine;"{""coordinates"": [[-1.766487646730994, 48.0656471189616]], ""type"": ""MultiPoint""}";BAR RESTAURANT;BABELOUSE;CHAVAGNE;;
15;CREPES GALETTES;Ille et Vilaine;"{""coordinates"": [[-1.587589666410262, 47.978445515099615]], ""type"": ""MultiPoint""}";CREPES GALETTES AE;2 RUE RENNES;CORPS NUDS;;
16;LA PIA'ZA;Ille et Vilaine;"{""coordinates"": [[-1.586820858318419, 47.97829224612879]], ""type"": ""MultiPoint""}";PIZZERIA;1 RUE DU POINT DU JOUR;CORPS NUDS;;
